Overriding config with config/train_shakespeare_char.py:
tokens per iteration will be: 16,384
effective global batch size (sequences) will be: 64
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2714, time 3053.91ms, mfu -100.00%
iter 10: loss 3.1476, time 16.03ms, mfu 23.25%
iter 20: loss 2.7333, time 15.29ms, mfu 23.36%
iter 30: loss 2.6157, time 15.52ms, mfu 23.42%
iter 40: loss 2.5761, time 15.23ms, mfu 23.53%
iter 50: loss 2.5257, time 15.18ms, mfu 23.63%
iter 60: loss 2.5101, time 15.20ms, mfu 23.72%
iter 70: loss 2.4937, time 15.35ms, mfu 23.78%
iter 80: loss 2.4949, time 15.09ms, mfu 23.87%
iter 90: loss 2.4642, time 15.18ms, mfu 23.93%
iter 100: loss 2.4559, time 15.13ms, mfu 24.00%
iter 110: loss 2.4545, time 15.01ms, mfu 24.09%
iter 120: loss 2.4294, time 15.05ms, mfu 24.15%
iter 130: loss 2.4133, time 14.91ms, mfu 24.24%
iter 140: loss 2.4042, time 15.09ms, mfu 24.28%
iter 150: loss 2.4085, time 15.19ms, mfu 24.31%
iter 160: loss 2.3676, time 14.97ms, mfu 24.37%
iter 170: loss 2.3564, time 14.91ms, mfu 24.43%
iter 180: loss 2.3013, time 15.00ms, mfu 24.47%
iter 190: loss 2.2393, time 15.23ms, mfu 24.47%
iter 200: loss 2.2029, time 14.93ms, mfu 24.52%
iter 210: loss 2.1412, time 15.12ms, mfu 24.53%
iter 220: loss 2.1340, time 14.75ms, mfu 24.60%
iter 230: loss 2.0779, time 14.96ms, mfu 24.63%
iter 240: loss 2.0766, time 14.93ms, mfu 24.67%
step 250: train loss 1.9638, val loss 2.0642
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0311, time 3083.50ms, mfu 22.21%
iter 260: loss 1.9738, time 15.17ms, mfu 22.45%
iter 270: loss 1.9675, time 15.02ms, mfu 22.68%
iter 280: loss 1.9770, time 15.15ms, mfu 22.87%
iter 290: loss 1.9155, time 15.02ms, mfu 23.07%
iter 300: loss 1.8986, time 15.14ms, mfu 23.22%
iter 310: loss 1.8706, time 15.01ms, mfu 23.38%
iter 320: loss 1.8553, time 15.09ms, mfu 23.52%
iter 330: loss 1.8150, time 14.82ms, mfu 23.68%
iter 340: loss 1.7909, time 15.04ms, mfu 23.79%
iter 350: loss 1.8252, time 15.84ms, mfu 23.76%
iter 360: loss 1.7673, time 15.05ms, mfu 23.86%
iter 370: loss 1.7454, time 14.79ms, mfu 23.99%
iter 380: loss 1.7260, time 14.72ms, mfu 24.13%
iter 390: loss 1.7299, time 14.71ms, mfu 24.25%
iter 400: loss 1.7630, time 15.03ms, mfu 24.30%
iter 410: loss 1.6932, time 14.65ms, mfu 24.41%
iter 420: loss 1.7105, time 14.59ms, mfu 24.53%
iter 430: loss 1.6837, time 14.84ms, mfu 24.58%
iter 440: loss 1.6559, time 14.62ms, mfu 24.67%
iter 450: loss 1.6497, time 14.59ms, mfu 24.76%
iter 460: loss 1.5936, time 14.58ms, mfu 24.84%
iter 470: loss 1.6571, time 14.56ms, mfu 24.92%
iter 480: loss 1.6179, time 14.72ms, mfu 24.95%
iter 490: loss 1.5913, time 14.85ms, mfu 24.97%
step 500: train loss 1.5217, val loss 1.7301
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6004, time 3128.70ms, mfu 22.48%
iter 510: loss 1.6053, time 15.18ms, mfu 22.69%
iter 520: loss 1.5869, time 15.06ms, mfu 22.89%
iter 530: loss 1.5560, time 14.81ms, mfu 23.12%
iter 540: loss 1.6128, time 14.89ms, mfu 23.31%
iter 550: loss 1.5617, time 14.91ms, mfu 23.48%
iter 560: loss 1.5615, time 14.83ms, mfu 23.64%
iter 570: loss 1.5583, time 14.70ms, mfu 23.81%
iter 580: loss 1.5294, time 14.60ms, mfu 23.98%
iter 590: loss 1.4889, time 14.87ms, mfu 24.09%
iter 600: loss 1.5138, time 14.64ms, mfu 24.23%
iter 610: loss 1.5298, time 14.89ms, mfu 24.31%
iter 620: loss 1.5307, time 14.67ms, mfu 24.42%
iter 630: loss 1.5098, time 14.73ms, mfu 24.50%
iter 640: loss 1.4556, time 14.87ms, mfu 24.56%
iter 650: loss 1.4932, time 14.67ms, mfu 24.64%
iter 660: loss 1.5016, time 14.79ms, mfu 24.70%
iter 670: loss 1.4396, time 14.69ms, mfu 24.77%
iter 680: loss 1.5061, time 14.76ms, mfu 24.81%
iter 690: loss 1.4545, time 14.80ms, mfu 24.85%
iter 700: loss 1.4737, time 14.58ms, mfu 24.92%
iter 710: loss 1.4501, time 14.70ms, mfu 24.96%
iter 720: loss 1.4389, time 14.72ms, mfu 25.00%
iter 730: loss 1.4234, time 14.92ms, mfu 25.00%
iter 740: loss 1.4216, time 14.73ms, mfu 25.03%
step 750: train loss 1.3575, val loss 1.5861
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4249, time 2907.48ms, mfu 22.54%
iter 760: loss 1.4405, time 14.79ms, mfu 22.80%
iter 770: loss 1.4230, time 14.80ms, mfu 23.04%
iter 780: loss 1.3986, time 14.81ms, mfu 23.25%
iter 790: loss 1.4194, time 14.87ms, mfu 23.43%
iter 800: loss 1.4244, time 14.68ms, mfu 23.63%
iter 810: loss 1.4000, time 14.96ms, mfu 23.76%
iter 820: loss 1.4121, time 14.98ms, mfu 23.87%
iter 830: loss 1.3884, time 15.02ms, mfu 23.96%
iter 840: loss 1.3984, time 14.67ms, mfu 24.11%
iter 850: loss 1.3865, time 14.83ms, mfu 24.21%
iter 860: loss 1.3926, time 14.69ms, mfu 24.32%
iter 870: loss 1.3907, time 14.89ms, mfu 24.39%
iter 880: loss 1.3758, time 14.80ms, mfu 24.47%
iter 890: loss 1.3853, time 14.70ms, mfu 24.56%
iter 900: loss 1.3644, time 14.88ms, mfu 24.61%
iter 910: loss 1.3147, time 14.86ms, mfu 24.65%
iter 920: loss 1.3592, time 15.03ms, mfu 24.67%
iter 930: loss 1.3596, time 14.64ms, mfu 24.75%
iter 940: loss 1.3404, time 15.06ms, mfu 24.75%
iter 950: loss 1.3488, time 14.81ms, mfu 24.79%
iter 960: loss 1.3619, time 15.78ms, mfu 24.67%
