type,x,loss,elapsed_s,avg_mfu,mem_gb
train_step,0,4.2749247550964355,15.46061897277832,,
val_step,0,4.274969577789307,15.46061897277832,,
iter,0,4.261467933654785,15.604718446731567,,5.990704536437988
iter,10,2.88313627243042,16.499079704284668,36.361864614896305,6.030284404754639
iter,20,2.601536512374878,17.4215989112854,36.27192295104989,6.030284404754639
iter,30,2.52539324760437,18.299608945846558,36.097539312643455,6.030284404754639
iter,40,2.4941964149475098,19.219424962997437,36.12953210108253,6.030284404754639
train_step,50,2.4659883975982666,35.21730852127075,,
val_step,50,2.471134901046753,35.21730852127075,,
iter,50,2.4815313816070557,35.63960146903992,32.53564595977871,6.030284404754639
iter,60,2.4539260864257812,36.5316321849823,32.377807274713746,6.030284404754639
iter,70,2.441486120223999,37.4302282333374,32.602655593070565,6.030284404754639
iter,80,2.432704448699951,38.35413646697998,32.698892370716614,6.030284404754639
iter,90,2.3982155323028564,39.27596616744995,33.40307100471776,6.030284404754639
train_step,100,2.3343443870544434,55.93301200866699,,
val_step,100,2.371419668197632,55.93301200866699,,
iter,100,2.38370943069458,56.337512493133545,30.08109411824398,6.030284404754639
iter,110,2.336554527282715,57.295613288879395,30.548714311924453,6.030284404754639
iter,120,2.2821991443634033,58.208550214767456,30.93395001846111,6.030284404754639
iter,130,2.204885482788086,59.09716486930847,31.24129825637199,6.030284404754639
iter,140,2.1292338371276855,59.971365451812744,31.614305029273233,6.030284404754639
train_step,150,1.9940612316131592,76.48490238189697,,
val_step,150,2.091625928878784,76.48490238189697,,
iter,150,2.062990665435791,76.88249325752258,28.471348755728354,6.030284404754639
iter,160,2.0203840732574463,77.78139185905457,29.065826622257113,6.030284404754639
iter,170,1.955573558807373,78.72842693328857,29.4992482863206,6.030284404754639
iter,180,1.9107694625854492,79.61491918563843,29.617684557623154,6.030284404754639
iter,190,1.866872787475586,80.55572581291199,30.203247510273695,6.030284404754639
train_step,200,1.742569088935852,96.5914466381073,,
val_step,200,1.8936847448349,96.5914466381073,,
iter,200,1.8344758749008179,97.00260186195374,27.201991146487163,6.030284404754639
iter,210,1.7955602407455444,97.91414785385132,27.97469836895822,6.030284404754639
iter,220,1.774397373199463,98.84458565711975,28.73030588006211,6.030284404754639
iter,230,1.727632761001587,99.81391072273254,29.396182809983863,6.030284404754639
iter,240,1.6932083368301392,100.79052972793579,29.292953790484244,6.030284404754639
train_step,250,1.5858083963394165,116.8318464756012,,
val_step,250,1.7684199810028076,116.8318464756012,,
iter,250,1.6838915348052979,117.23226046562195,26.382766650198135,6.030284404754639
iter,260,1.6636910438537598,118.12905502319336,27.222385250680393,6.030284404754639
iter,270,1.6288825273513794,119.0360312461853,27.947633482430597,6.030284404754639
iter,280,1.6261156797409058,119.93269848823547,28.696622269193067,6.030284404754639
iter,290,1.5818525552749634,120.86697196960449,29.244845699350147,6.030284404754639
train_step,300,1.4850578308105469,138.72526741027832,,
val_step,300,1.688234806060791,138.72526741027832,,
iter,300,1.5759687423706055,139.1552610397339,26.337451528512325,6.030284404754639
iter,310,1.5564301013946533,140.08060836791992,27.028470003810316,6.030284404754639
iter,320,1.537476658821106,141.00863122940063,27.856166483122674,6.030284404754639
iter,330,1.5296900272369385,141.96097874641418,28.641833884158903,6.030284404754639
iter,340,1.5232537984848022,142.91126346588135,29.23719450389178,6.030284404754639
train_step,350,1.4077932834625244,162.0303509235382,,
val_step,350,1.6199668645858765,162.0303509235382,,
iter,350,1.5093574523925781,162.4357407093048,26.329464615243488,6.030284404754639
iter,360,1.4877859354019165,163.35176730155945,27.20351285958234,6.030284404754639
iter,370,1.466374397277832,164.23653292655945,27.98686407415389,6.030284404754639
iter,380,1.4469425678253174,165.24332547187805,28.475449843041584,6.030284404754639
iter,390,1.4517674446105957,166.1678762435913,29.081009128533346,6.030284404754639
train_step,400,1.3309221267700195,182.22724080085754,,
val_step,400,1.5650663375854492,182.22724080085754,,
iter,400,1.41899573802948,182.6310636997223,26.191971135246046,6.030284404754639
iter,410,1.416434645652771,183.74186825752258,24.58987178193198,6.030284404754639
iter,420,1.4060583114624023,184.64515590667725,25.745207739160726,6.030284404754639
iter,430,1.3978626728057861,185.56988716125488,26.65181640124726,6.030284404754639
iter,440,1.3864035606384277,186.6237931251526,27.581277111735638,6.030284404754639
train_step,450,1.2734390497207642,202.85263752937317,,
val_step,450,1.5217803716659546,202.85263752937317,,
iter,450,1.3724994659423828,203.2596936225891,24.841987023899556,6.030284404754639
iter,460,1.3726844787597656,204.26466512680054,25.897487323933127,6.030284404754639
iter,470,1.3560190200805664,205.19892001152039,26.238311618192018,6.030284404754639
iter,480,1.3466397523880005,206.17864346504211,26.548065136925636,6.030284404754639
iter,490,1.3333927392959595,207.09322690963745,27.355274055831046,6.030284404754639
train_step,500,1.236096978187561,223.083509683609,,
val_step,500,1.501387596130371,223.083509683609,,
iter,500,1.3290350437164307,223.5004734992981,24.638859634146023,6.030284404754639
iter,510,1.32266366481781,224.44834327697754,25.7109487711391,6.030284404754639
iter,520,1.3181350231170654,225.41498970985413,26.63600284119376,6.030284404754639
iter,530,1.3004941940307617,226.38052105903625,27.312032191381725,6.030284404754639
iter,540,1.2774595022201538,227.2880187034607,28.033742518118522,6.030284404754639
train_step,550,1.1827014684677124,243.51689863204956,,
val_step,550,1.4790960550308228,243.51689863204956,,
iter,550,1.2733649015426636,243.9187614917755,25.2492156175243,6.030284404754639
iter,560,1.2735451459884644,244.85559630393982,25.705427694762488,6.030284404754639
iter,570,1.263965129852295,245.78671765327454,26.56402870579186,6.030284404754639
iter,580,1.252326250076294,246.69174575805664,27.47317612959267,6.030284404754639
iter,590,1.2513964176177979,247.6516718864441,27.605022480326124,6.030284404754639
train_step,600,1.1496840715408325,263.6328797340393,,
val_step,600,1.4731825590133667,263.6328797340393,,
iter,600,1.2445298433303833,264.0535831451416,24.863623691790583,6.030284404754639
iter,610,1.2307347059249878,264.9983925819397,25.308253409836944,6.030284404754639
iter,620,1.2340145111083984,265.91847562789917,25.71674368659717,6.030284404754639
iter,630,1.2124240398406982,266.84991979599,26.121079856361224,6.030284404754639
iter,640,1.2054524421691895,267.8134789466858,26.434354377467113,6.030284404754639
train_step,650,1.1035237312316895,283.7626259326935,,
val_step,650,1.460363745689392,283.7626259326935,,
iter,650,1.2044429779052734,284.16037487983704,23.81012515117704,6.030284404754639
iter,660,1.206935167312622,285.1432707309723,24.54046909093137,6.030284404754639
iter,670,1.2031543254852295,286.06759095191956,25.369404525264105,6.030284404754639
iter,680,1.1878355741500854,287.0073115825653,25.80984944755268,6.030284404754639
iter,690,1.1779985427856445,287.9796221256256,26.565081177857795,6.030284404754639
train_step,700,1.0703606605529785,304.2614254951477,,
val_step,700,1.4648187160491943,304.2614254951477,,
